# z=0.00532
# A_B=0.081,A_V=0.061, A_R=0.081,A_I=0
# FLT,MJD,MAG,MAGERR
I,56343.93,14.767,0.01
R,56343.93,14.873,0.01
B,56344.34,14.812,0.01
V,56344.34,14.779,0.01
B,56344.4666,14.905,0.01
V,56344.4689,15.084,0.01
B,56345.34,14.813,0.01
V,56345.34,14.747,0.01
B,56345.90,14.804,0.01
I,56345.90,14.586,0.01
R,56345.90,14.730,0.01
B,56346.34,14.793,0.01
V,56346.34,14.705,0.01
B,56347.34,14.793,0.01
B,56347.4712,14.921,0.01
V,56347.4754,14.950,0.01
B,56347.80,14.868,0.01
I,56347.80,14.517,0.01
R,56347.80,14.677,0.01
B,56348.34,14.838,0.01
V,56348.34,14.691,0.01
B,56348.41,14.89,0.01
I,56348.41,14.46,0.01
R,56348.41,14.62,0.01
V,56348.41,14.84,0.01
B,56349.34,14.871,0.01
V,56349.34,14.729,0.01
B,56349.90,14.885,0.01
I,56349.90,14.552,0.01
R,56349.90,14.698,0.01
B,56350.34,14.880,0.01
V,56350.34,14.783,0.01
B,56350.4733,14.978,0.01
V,56350.4784,15.026,0.01
B,56350.80,14.916,0.01
I,56350.80,14.580,0.01
R,56350.80,14.712,0.01
B,56351.34,14.860,0.01
V,56351.34,14.814,0.01
B,56351.86,14.974,0.01
I,56351.86,14.612,0.01
R,56351.86,14.733,0.01
B,56352.44,15.018,0.01
V,56352.44,14.901,0.01
B,56352.46,15.04,0.01
I,56352.46,14.59,0.01
R,56352.46,14.72,0.01
V,56352.46,14.96,0.01
B,56353.44,14.950,0.01
V,56353.44,14.889,0.01
B,56353.5897,15.116,0.01
V,56353.5938,15.130,0.01
B,56354.39,15.092,0.01
V,56354.39,14.826,0.01
B,56355.44,15.046,0.01
V,56355.44,14.920,0.01
B,56355.84,15.073,0.01
I,56355.84,14.668,0.01
R,56355.84,14.770,0.01
B,56356.32,15.102,0.01
V,56356.32,14.885,0.01
B,56356.6265,15.166,0.01
V,56356.6304,15.150,0.01
B,56357.32,15.122,0.01
V,56357.32,14.905,0.01
B,56357.85,15.124,0.01
I,56357.85,14.652,0.01
R,56357.85,14.768,0.01
B,56358.82,15.162,0.01
I,56358.82,14.642,0.01
R,56358.82,14.762,0.01
B,56359.31,15.198,0.01
B,56360.36,15.196,0.01
V,56360.36,14.886,0.01
B,56361.35,15.254,0.01
V,56361.35,14.935,0.01
B,56361.53,15.34,0.01
I,56361.53,14.60,0.01
R,56361.53,14.77,0.01
V,56361.53,15.09,0.01
B,56362.33,15.236,0.01
V,56362.33,14.963,0.01
B,56363.37,15.363,0.01
V,56363.37,14.952,0.01
B,56363.80,15.354,0.01
I,56363.80,14.605,0.01
R,56363.80,14.756,0.01
V,56363.80,14.994,0.01
B,56364.51,15.53,0.01
I,56364.51,14.64,0.01
R,56364.51,14.81,0.01
V,56364.51,15.15,0.01
B,56364.6612,15.576,0.01
V,56364.6668,15.226,0.01
B,56365.44,15.422,0.01
V,56365.44,15.036,0.01
B,56366.88,15.486,0.01
I,56366.88,14.636,0.01
R,56366.88,14.793,0.01
V,56366.88,15.056,0.01
I,56367.47,14.42,0.01
R,56367.47,14.65,0.01
B,56368.7049,15.733,0.01
V,56368.7108,15.289,0.01
B,56369.50,15.72,0.01
I,56369.50,14.66,0.01
R,56369.50,14.87,0.01
V,56369.50,15.22,0.01
B,56370.94,15.665,0.01
I,56370.94,14.693,0.01
R,56370.94,14.867,0.01
V,56370.94,15.166,0.01
B,56371.44,15.695,0.01
V,56371.44,15.113,0.01
B,56371.4711,15.906,0.01
V,56371.4740,15.347,0.01
I,56372.71,14.692,0.01
R,56372.71,14.900,0.01
V,56372.71,15.203,0.01
B,56375.43,15.812,0.01
V,56375.43,15.230,0.01
B,56375.90,15.848,0.01
R,56375.90,14.927,0.01
V,56375.90,15.248,0.01
B,56376.75,15.866,0.01
I,56376.75,14.718,0.01
R,56376.75,14.936,0.01
V,56376.75,15.257,0.01
B,56377.38,15.911,0.01
V,56377.38,15.245,0.01
B,56378.4613,16.150,0.01
B,56379.81,15.968,0.01
I,56379.81,14.729,0.01
R,56379.81,14.966,0.01
V,56379.81,15.282,0.01
B,56380.78,15.982,0.01
I,56380.78,14.722,0.01
R,56380.78,14.971,0.01
V,56380.78,15.303,0.01
B,56381.87,16.035,0.01
