# z=0.000677
# A_B=0.081,A_V=0.061, A_R=0.081,A_I=0
# FLT,MJD,MAG,MAGERR
R,56677.68443724,11.3932586807338,0.01
R,56678.31205141,11.00561836355,0.01
B,56678.869,12.966,0.01
V,56678.869,11.721,0.01
I,56678.87,10.626,0.01
R,56678.87,11.105,0.01
V,56678.87690354,11.9494379545218,0.01
R,56678.90828613,11.1235949161792,0.01
R,56679.06518967,11.0561795725355,0.01
B,56679.37,13.185,0.01
I,56679.37,10.849,0.01
R,56679.37,11.155,0.01
V,56679.37,11.820,0.01
B,56679.66142439,12.8426963365081,0.01
R,56679.66142439,10.9550559595749,0.01
R,56679.69280384,10.8707864812728,0.01
B,56679.866,12.695,0.01
I,56679.867,10.358,0.01
R,56679.867,10.859,0.01
V,56679.867,11.482,0.01
B,56679.88108997,13.0617976970876,0.01
R,56679.88108997,10.8876406159311,0.01
V,56679.88108997,11.6629212502986,0.01
R,56679.94385202,10.803371137629,0.01
R,56680.03799352,10.8876406159311,0.01
B,56680.37,12.847,0.01
I,56680.37,10.531,0.01
R,56680.37,10.846,0.01
V,56680.37,11.546,0.01
B,56680.5646,12.746,0.01
V,56680.5682,11.529,0.01
B,56680.6313,12.785,0.01
B,56680.63422823,12.5730337669433,0.01
V,56680.6349,11.528,0.01
B,56680.94803532,12.8089892621811,0.01
R,56680.94803532,10.634830986035,0.01
V,56680.94803532,11.3764045460754,0.01
B,56681.3638,12.592,0.01
V,56681.3674,11.397,0.01
B,56681.4304,12.6,0.01
V,56681.434,11.403,0.01
B,56681.63,12.49,0.01
I,56681.63,10.03,0.01
R,56681.63,10.52,0.01
V,56681.63,11.2,0.01
V,56681.76393562,11.1741573201543,0.01
B,56681.79531508,12.4213477500077,0.01
R,56681.79531508,10.4662920294307,0.01
B,56681.828,12.329,0.01
R,56681.829,10.527,0.01
V,56681.829,11.129,0.01
I,56681.83,10.041,0.01
B,56682.0362,12.513,0.01
V,56682.0396,11.277,0.01
B,56682.33,12.473,0.01
I,56682.33,10.216,0.01
R,56682.33,10.580,0.01
V,56682.33,11.233,0.01
R,56682.64259484,10.3651684164702,0.01
V,56682.64259484,11.0393254378771,0.01
B,56682.874,12.209,0.01
R,56682.875,10.412,0.01
V,56682.875,11,0.01
I,56682.876,9.911,0.01
R,56682.98778451,10.4494378947723,0.01
R,56683.01916397,10.4325837601139,0.01
B,56683.37,12.335,0.01
I,56683.37,10.105,0.01
R,56683.37,10.462,0.01
V,56683.37,11.028,0.01
B,56683.3771,12.373,0.01
V,56683.3807,11.139,0.01
B,56683.4316,12.323,0.01
V,56683.4352,11.147,0.01
B,56683.67816072,12.2191017190763,0.01
R,56683.67816072,10.280898938168,0.01
B,56683.857,12.105,0.01
R,56683.858,10.331,0.01
V,56683.858,10.892,0.01
I,56683.859,9.833,0.01
B,56684.0,12.142,0.01
I,56684.0,9.802,0.01
R,56684.0,10.282,0.01
V,56684.0,10.921,0.01
B,56684.36,12.239,0.01
I,56684.36,10.070,0.01
R,56684.36,10.310,0.01
V,56684.36,10.942,0.01
B,56684.3641,12.243,0.01
V,56684.3677,11.005,0.01
B,56684.4307,12.233,0.01
V,56684.4344,11.04,0.01
B,56684.61958198,12.0674157021407,0.01
B,56684.65096457,12.2191017190763,0.01
V,56684.65096457,10.8876406159311,0.01
R,56684.68234403,10.2640448035096,0.01
B,56684.99615111,12.1685393151012,0.01
R,56684.99615111,10.280898938168,0.01
R,56684.99615111,10.3314601471534,0.01
V,56684.99615111,10.9213488852479,0.01
R,56685.0275337,10.3483142818118,0.01
B,56685.62376841,12.0000003584969,0.01
B,56685.6439,12.156,0.01
V,56685.6475,10.921,0.01
R,56685.65514787,10.3820225511285,0.01
B,56685.7,12.08,0.01
I,56685.7,9.77,0.01
R,56685.7,10.24,0.01
V,56685.7,10.77,0.01
B,56685.7105,12.141,0.01
V,56685.7142,10.903,0.01
R,56686.00033754,10.3483142818118,0.01
R,56686.06309646,10.3483142818118,0.01
V,56686.09447904,10.8539323466144,0.01
B,56686.1258585,12.033707432824,0.01
R,56686.1258585,10.2134835945242,0.01
B,56686.63,11.99,0.01
I,56686.63,9.72,0.01
R,56686.63,10.16,0.01
V,56686.63,10.7,0.01
B,56686.69071376,12.0505615674823,0.01
R,56686.69071376,10.1629211905491,0.01
V,56686.69071376,10.803371137629,0.01
B,56686.7761,12.146,0.01
V,56686.7797,10.872,0.01
B,56686.8455,12.094,0.01
V,56686.8492,10.85,0.01
B,56687.67,11.98,0.01
I,56687.67,9.72,0.01
R,56687.67,10.14,0.01
V,56687.67,10.67,0.01
B,56687.8954,12.052,0.01
V,56687.899,10.802,0.01
B,56687.9644,12.056,0.01
V,56687.968,10.781,0.01
R,56688.19699028,10.1123599815637,0.01
V,56688.19699028,10.7191016593268,0.01
B,56688.22836973,12.0505615674823,0.01
B,56688.2974,12.015,0.01
V,56688.3011,10.765,0.01
B,56688.3639,12.065,0.01
V,56688.3675,10.804,0.01
B,56688.63,11.95,0.01
I,56688.63,9.71,0.01
R,56688.63,10.11,0.01
V,56688.63,10.61,0.01
B,56688.8,11.846,0.01
I,56688.8,9.697,0.01
R,56688.8,10.093,0.01
V,56688.8,10.669,0.01
B,56688.893,11.888,0.01
R,56688.894,10.141,0.01
V,56688.894,10.621,0.01
I,56688.895,9.768,0.01
B,56689.3042,12.059,0.01
V,56689.3078,10.795,0.01
B,56689.3625,12.062,0.01
V,56689.3661,10.797,0.01
B,56689.39,12.037,0.01
I,56689.39,9.970,0.01
R,56689.39,10.192,0.01
V,56689.39,10.689,0.01
B,56689.801,11.86,0.01
V,56689.801,10.601,0.01
I,56689.802,9.787,0.01
R,56689.802,10.124,0.01
B,56690.20535688,11.9831474188282,0.01
V,56690.20535688,10.7022499146479,0.01
R,56690.23673634,10.0955058469053,0.01
B,56690.2969,12.081,0.01
B,56690.30,12.028,0.01
I,56690.30,9.977,0.01
R,56690.30,10.185,0.01
V,56690.30,10.661,0.01
V,56690.3005,10.769,0.01
B,56690.3637,12.064,0.01
V,56690.3674,10.772,0.01
B,56690.68,11.85,0.01
I,56690.68,9.86,0.01
R,56690.68,10.05,0.01
V,56690.68,10.56,0.01
B,56691.0,11.971,0.01
I,56691.0,9.827,0.01
R,56691.0,10.040,0.01
V,56691.0,10.622,0.01
B,56691.4301,12.071,0.01
V,56691.4337,10.744,0.01
B,56691.4964,12.073,0.01
V,56691.5,10.764,0.01
B,56691.7,11.88,0.01
I,56691.7,9.9,0.01
R,56691.7,10.06,0.01
V,56691.7,10.57,0.01
B,56692.0,11.931,0.01
I,56692.0,9.858,0.01
R,56692.0,10.071,0.01
V,56692.0,10.588,0.01
B,56692.2962,12.118,0.01
V,56692.2999,10.722,0.01
B,56692.368,12.106,0.01
V,56692.3717,10.749,0.01
B,56692.67,11.91,0.01
I,56692.67,9.93,0.01
R,56692.67,10.08,0.01
V,56692.67,10.58,0.01
B,56693.0,11.965,0.01
I,56693.0,9.819,0.01
R,56693.0,10.078,0.01
V,56693.0,10.584,0.01
B,56693.6291,12.089,0.01
V,56693.6327,10.73,0.01
B,56693.67,11.94,0.01
I,56693.67,9.95,0.01
R,56693.67,10.08,0.01
V,56693.67,10.59,0.01
B,56693.6958,12.143,0.01
V,56693.6994,10.803,0.01
B,56693.99,12.01,0.01
I,56693.99,9.99,0.01
R,56693.99,10.11,0.01
V,56693.99,10.65,0.01
B,56694.68,11.99,0.01
I,56694.68,9.99,0.01
R,56694.68,10.12,0.01
V,56694.68,10.61,0.01
B,56695.4959,12.188,0.01
V,56695.4996,10.775,0.01
B,56695.5626,12.188,0.01
V,56695.5662,10.775,0.01
B,56695.66,12.03,0.01
I,56695.66,10.02,0.01
R,56695.66,10.17,0.01
V,56695.66,10.63,0.01
B,56696.63,12.215,0.01
V,56696.6337,10.797,0.01
B,56696.6968,12.3,0.01
V,56696.7004,10.815,0.01
B,56697.2992,12.319,0.01
V,56697.3028,10.816,0.01
B,56697.3658,12.294,0.01
V,56697.3695,10.829,0.01
B,56698.631,12.381,0.01
V,56698.6346,10.93,0.01
B,56698.6952,12.374,0.01
V,56698.6988,10.884,0.01
B,56699.2372,12.451,0.01
V,56699.2408,10.904,0.01
B,56699.2952,12.46,0.01
V,56699.2989,10.928,0.01
B,56699.67,12.29,0.01
I,56699.67,10.27,0.01
R,56699.67,10.42,0.01
V,56699.67,10.82,0.01
I,56699.918,10.302,0.01
R,56699.918,10.536,0.01
V,56699.928,10.975,0.01
B,56699.931,12.408,0.01
B,56700.43,12.542,0.01
I,56700.43,10.495,0.01
R,56700.43,10.702,0.01
V,56700.43,10.982,0.01
B,56700.7,12.39,0.01
I,56700.7,10.32,0.01
R,56700.7,10.52,0.01
V,56700.7,10.89,0.01
I,56700.802,10.298,0.01
B,56700.804,12.426,0.01
V,56700.804,10.948,0.01
R,56700.806,10.591,0.01
B,56701.30,12.646,0.01
I,56701.30,10.551,0.01
R,56701.30,10.838,0.01
V,56701.30,11.129,0.01
B,56701.4285,12.61,0.01
V,56701.4322,11.052,0.01
B,56701.4952,12.595,0.01
V,56701.4988,11.042,0.01
B,56701.793,12.513,0.01
V,56701.793,10.996,0.01
R,56701.794,10.652,0.01
I,56701.796,10.337,0.01
B,56701.8,12.48,0.01
I,56701.8,10.37,0.01
R,56701.8,10.6,0.01
V,56701.8,10.95,0.01
B,56701.95,12.55,0.01
I,56701.95,10.38,0.01
R,56701.95,10.57,0.01
V,56701.95,10.94,0.01
B,56702.8286,12.732,0.01
V,56702.8322,11.123,0.01
B,56702.844,12.625,0.01
V,56702.845,11.104,0.01
I,56702.846,10.38,0.01
R,56702.846,10.735,0.01
B,56702.8953,12.698,0.01
V,56702.8989,11.116,0.01
B,56703.0,12.818,0.01
I,56703.0,10.367,0.01
R,56703.0,10.655,0.01
V,56703.0,11.136,0.01
B,56703.34,12.887,0.01
I,56703.34,10.599,0.01
R,56703.34,10.801,0.01
V,56703.34,11.165,0.01
B,56703.7628,12.822,0.01
V,56703.7664,11.163,0.01
B,56704.831,12.85,0.01
R,56704.832,10.816,0.01
V,56704.832,11.228,0.01
I,56704.833,10.388,0.01
